internship_id,title,company,domain,description,required_skills,location,duration,stipend,is_active,application_deadline,is_accepting_applications,employee_count,headquarters,industry
INT_0288,Marketing Intern,Reliance Industries,marketing,Internship opportunity in Marketing at Reliance Industries.,"seo, digital marketing",mumbai,12 months,5000,True,2025-10-05,True,300000,Mumbai,Energy & Petrochemicals
INT_0289,Marketing Intern,Infosys,marketing,Internship opportunity in Marketing at Infosys.,"seo, digital marketing",bangalore,12 months,5000,True,2025-11-03,True,250000,Bangalore,IT Services
INT_0290,Cloud Computing Intern,ICICI Bank,cloud computing,Internship opportunity in Cloud Computing at ICICI Bank.,"aws, azure",mumbai,12 months,5000,True,2025-10-12,True,125000,Mumbai,Banking & Finance
INT_0291,Finance Intern,Tata Consultancy Services,finance,Internship opportunity in Finance at Tata Consultancy Services.,"excel, financial analysis",mumbai,12 months,5000,True,2025-10-16,True,600000,Mumbai,IT Services
INT_0292,Cloud Computing Intern,State Bank of India,cloud computing,Internship opportunity in Cloud Computing at State Bank of India.,"azure, docker",mumbai,12 months,5000,True,2025-11-07,True,250000,Mumbai,Banking & Finance
INT_0293,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"azure, aws",bangalore,12 months,5000,True,2025-12-06,True,200000,Bangalore,IT Services
INT_0294,Data Science Intern,Infosys,data science,Internship opportunity in Data Science at Infosys.,"machine learning, python",bangalore,12 months,5000,True,2025-11-27,True,250000,Bangalore,IT Services
INT_0295,Data Science Intern,Tata Consultancy Services,data science,Internship opportunity in Data Science at Tata Consultancy Services.,"sql, python",mumbai,12 months,5000,True,2025-10-11,True,600000,Mumbai,IT Services
INT_0296,Cloud Computing Intern,State Bank of India,cloud computing,Internship opportunity in Cloud Computing at State Bank of India.,"azure, docker",mumbai,12 months,5000,True,2025-12-05,True,250000,Mumbai,Banking & Finance
INT_0297,Data Science Intern,Tata Consultancy Services,data science,Internship opportunity in Data Science at Tata Consultancy Services.,"python, machine learning",mumbai,12 months,5000,True,2025-11-09,True,600000,Mumbai,IT Services
INT_0298,Marketing Intern,ONGC,marketing,Internship opportunity in Marketing at ONGC.,"seo, digital marketing",delhi,12 months,5000,True,2025-10-03,True,30000,Delhi,Energy & Exploration
INT_0299,Cloud Computing Intern,Reliance Industries,cloud computing,Internship opportunity in Cloud Computing at Reliance Industries.,"azure, docker",mumbai,12 months,5000,True,2025-11-24,True,300000,Mumbai,Energy & Petrochemicals
INT_0300,Finance Intern,ICICI Bank,finance,Internship opportunity in Finance at ICICI Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-12-01,True,125000,Mumbai,Banking & Finance
INT_0301,Data Science Intern,Wipro,data science,Internship opportunity in Data Science at Wipro.,"python, sql",bangalore,12 months,5000,True,2025-11-14,True,200000,Bangalore,IT Services
INT_0302,Cloud Computing Intern,HDFC Bank,cloud computing,Internship opportunity in Cloud Computing at HDFC Bank.,"azure, docker",mumbai,12 months,5000,True,2025-12-06,True,150000,Mumbai,Banking & Finance
INT_0303,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"css, html",bangalore,12 months,5000,True,2025-12-18,True,250000,Bangalore,IT Services
INT_0304,Marketing Intern,Wipro,marketing,Internship opportunity in Marketing at Wipro.,"digital marketing, content writing",bangalore,12 months,5000,True,2025-10-10,True,200000,Bangalore,IT Services
INT_0305,Marketing Intern,HDFC Bank,marketing,Internship opportunity in Marketing at HDFC Bank.,"seo, digital marketing",mumbai,12 months,5000,True,2025-10-01,True,150000,Mumbai,Banking & Finance
INT_0306,Marketing Intern,Larsen & Toubro,marketing,Internship opportunity in Marketing at Larsen & Toubro.,"seo, digital marketing",mumbai,12 months,5000,True,2025-10-22,True,100000,Mumbai,Infrastructure & Engineering
INT_0307,Marketing Intern,ONGC,marketing,Internship opportunity in Marketing at ONGC.,"seo, content writing",delhi,12 months,5000,True,2025-11-09,True,30000,Delhi,Energy & Exploration
INT_0308,Cloud Computing Intern,Larsen & Toubro,cloud computing,Internship opportunity in Cloud Computing at Larsen & Toubro.,"azure, docker",mumbai,12 months,5000,True,2025-10-19,True,100000,Mumbai,Infrastructure & Engineering
INT_0309,Data Science Intern,Infosys,data science,Internship opportunity in Data Science at Infosys.,"python, machine learning",bangalore,12 months,5000,True,2025-10-01,True,250000,Bangalore,IT Services
INT_0310,Web Development Intern,Wipro,web development,Internship opportunity in Web Development at Wipro.,"javascript, react",bangalore,12 months,5000,True,2025-11-26,True,200000,Bangalore,IT Services
INT_0311,Data Science Intern,Reliance Industries,data science,Internship opportunity in Data Science at Reliance Industries.,"sql, python",mumbai,12 months,5000,True,2025-10-02,True,300000,Mumbai,Energy & Petrochemicals
INT_0312,Web Development Intern,Larsen & Toubro,web development,Internship opportunity in Web Development at Larsen & Toubro.,"javascript, react",mumbai,12 months,5000,True,2025-10-04,True,100000,Mumbai,Infrastructure & Engineering
INT_0313,Data Science Intern,Wipro,data science,Internship opportunity in Data Science at Wipro.,"sql, python",bangalore,12 months,5000,True,2025-10-18,True,200000,Bangalore,IT Services
INT_0314,Cloud Computing Intern,HCL Technologies,cloud computing,Internship opportunity in Cloud Computing at HCL Technologies.,"azure, aws",noida,12 months,5000,True,2025-11-30,True,225000,Noida,IT Services
INT_0315,Marketing Intern,ONGC,marketing,Internship opportunity in Marketing at ONGC.,"digital marketing, content writing",delhi,12 months,5000,True,2025-11-21,True,30000,Delhi,Energy & Exploration
INT_0316,Cloud Computing Intern,ONGC,cloud computing,Internship opportunity in Cloud Computing at ONGC.,"docker, azure",delhi,12 months,5000,True,2025-11-17,True,30000,Delhi,Energy & Exploration
INT_0317,Cloud Computing Intern,Reliance Industries,cloud computing,Internship opportunity in Cloud Computing at Reliance Industries.,"azure, aws",mumbai,12 months,5000,True,2025-11-08,True,300000,Mumbai,Energy & Petrochemicals
INT_0318,Web Development Intern,HDFC Bank,web development,Internship opportunity in Web Development at HDFC Bank.,"html, javascript",mumbai,12 months,5000,True,2025-11-21,True,150000,Mumbai,Banking & Finance
INT_0319,Finance Intern,ICICI Bank,finance,Internship opportunity in Finance at ICICI Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-10-29,True,125000,Mumbai,Banking & Finance
INT_0320,Marketing Intern,State Bank of India,marketing,Internship opportunity in Marketing at State Bank of India.,"content writing, digital marketing",mumbai,12 months,5000,True,2025-12-14,True,250000,Mumbai,Banking & Finance
INT_0321,Finance Intern,Larsen & Toubro,finance,Internship opportunity in Finance at Larsen & Toubro.,"excel, financial analysis",mumbai,12 months,5000,True,2025-12-08,True,100000,Mumbai,Infrastructure & Engineering
INT_0322,Web Development Intern,ICICI Bank,web development,Internship opportunity in Web Development at ICICI Bank.,"css, javascript",mumbai,12 months,5000,True,2025-12-19,True,125000,Mumbai,Banking & Finance
INT_0323,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"azure, docker",bangalore,12 months,5000,True,2025-12-13,True,200000,Bangalore,IT Services
INT_0324,Finance Intern,ICICI Bank,finance,Internship opportunity in Finance at ICICI Bank.,"excel, accounting",mumbai,12 months,5000,True,2025-11-06,True,125000,Mumbai,Banking & Finance
INT_0325,Finance Intern,HCL Technologies,finance,Internship opportunity in Finance at HCL Technologies.,"excel, financial analysis",noida,12 months,5000,True,2025-11-13,True,225000,Noida,IT Services
INT_0326,Finance Intern,HCL Technologies,finance,Internship opportunity in Finance at HCL Technologies.,"accounting, excel",noida,12 months,5000,True,2025-10-12,True,225000,Noida,IT Services
INT_0327,Data Science Intern,State Bank of India,data science,Internship opportunity in Data Science at State Bank of India.,"sql, python",mumbai,12 months,5000,True,2025-11-14,True,250000,Mumbai,Banking & Finance
INT_0328,Marketing Intern,Wipro,marketing,Internship opportunity in Marketing at Wipro.,"digital marketing, content writing",bangalore,12 months,5000,True,2025-11-21,True,200000,Bangalore,IT Services
INT_0329,Finance Intern,HDFC Bank,finance,Internship opportunity in Finance at HDFC Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-12-09,True,150000,Mumbai,Banking & Finance
INT_0330,Cloud Computing Intern,Reliance Industries,cloud computing,Internship opportunity in Cloud Computing at Reliance Industries.,"aws, azure",mumbai,12 months,5000,True,2025-12-08,True,300000,Mumbai,Energy & Petrochemicals
INT_0331,Cloud Computing Intern,HCL Technologies,cloud computing,Internship opportunity in Cloud Computing at HCL Technologies.,"aws, docker",noida,12 months,5000,True,2025-12-12,True,225000,Noida,IT Services
INT_0332,Cloud Computing Intern,HCL Technologies,cloud computing,Internship opportunity in Cloud Computing at HCL Technologies.,"aws, docker",noida,12 months,5000,True,2025-11-16,True,225000,Noida,IT Services
INT_0333,Finance Intern,HCL Technologies,finance,Internship opportunity in Finance at HCL Technologies.,"excel, financial analysis",noida,12 months,5000,True,2025-10-24,True,225000,Noida,IT Services
INT_0334,Finance Intern,Infosys,finance,Internship opportunity in Finance at Infosys.,"excel, financial analysis",bangalore,12 months,5000,True,2025-10-07,True,250000,Bangalore,IT Services
INT_0335,Cloud Computing Intern,HCL Technologies,cloud computing,Internship opportunity in Cloud Computing at HCL Technologies.,"docker, azure",noida,12 months,5000,True,2025-11-25,True,225000,Noida,IT Services
INT_0336,Finance Intern,HDFC Bank,finance,Internship opportunity in Finance at HDFC Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-10-28,True,150000,Mumbai,Banking & Finance
INT_0337,Finance Intern,State Bank of India,finance,Internship opportunity in Finance at State Bank of India.,"excel, accounting",mumbai,12 months,5000,True,2025-10-31,True,250000,Mumbai,Banking & Finance
INT_0338,Marketing Intern,HDFC Bank,marketing,Internship opportunity in Marketing at HDFC Bank.,"digital marketing, content writing",mumbai,12 months,5000,True,2025-10-07,True,150000,Mumbai,Banking & Finance
INT_0339,Data Science Intern,Tata Consultancy Services,data science,Internship opportunity in Data Science at Tata Consultancy Services.,"machine learning, sql",mumbai,12 months,5000,True,2025-10-24,True,600000,Mumbai,IT Services
INT_0340,Data Science Intern,Wipro,data science,Internship opportunity in Data Science at Wipro.,"machine learning, sql",bangalore,12 months,5000,True,2025-10-22,True,200000,Bangalore,IT Services
INT_0341,Cloud Computing Intern,HCL Technologies,cloud computing,Internship opportunity in Cloud Computing at HCL Technologies.,"azure, docker",noida,12 months,5000,True,2025-10-04,True,225000,Noida,IT Services
INT_0342,Web Development Intern,Wipro,web development,Internship opportunity in Web Development at Wipro.,"html, css",bangalore,12 months,5000,True,2025-11-13,True,200000,Bangalore,IT Services
INT_0343,Data Science Intern,Infosys,data science,Internship opportunity in Data Science at Infosys.,"python, machine learning",bangalore,12 months,5000,True,2025-12-20,True,250000,Bangalore,IT Services
INT_0344,Finance Intern,Infosys,finance,Internship opportunity in Finance at Infosys.,"excel, accounting",bangalore,12 months,5000,True,2025-10-06,True,250000,Bangalore,IT Services
INT_0345,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"azure, aws",bangalore,12 months,5000,True,2025-11-17,True,200000,Bangalore,IT Services
INT_0346,Web Development Intern,HDFC Bank,web development,Internship opportunity in Web Development at HDFC Bank.,"css, html",mumbai,12 months,5000,True,2025-10-06,True,150000,Mumbai,Banking & Finance
INT_0347,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"html, react",bangalore,12 months,5000,True,2025-12-18,True,250000,Bangalore,IT Services
INT_0348,Web Development Intern,HDFC Bank,web development,Internship opportunity in Web Development at HDFC Bank.,"javascript, react",mumbai,12 months,5000,True,2025-12-07,True,150000,Mumbai,Banking & Finance
INT_0349,Data Science Intern,ICICI Bank,data science,Internship opportunity in Data Science at ICICI Bank.,"sql, machine learning",mumbai,12 months,5000,True,2025-10-05,True,125000,Mumbai,Banking & Finance
INT_0350,Finance Intern,State Bank of India,finance,Internship opportunity in Finance at State Bank of India.,"excel, accounting",mumbai,12 months,5000,True,2025-11-03,True,250000,Mumbai,Banking & Finance
INT_0351,Finance Intern,Wipro,finance,Internship opportunity in Finance at Wipro.,"excel, accounting",bangalore,12 months,5000,True,2025-12-07,True,200000,Bangalore,IT Services
INT_0352,Data Science Intern,Larsen & Toubro,data science,Internship opportunity in Data Science at Larsen & Toubro.,"python, machine learning",mumbai,12 months,5000,True,2025-10-21,True,100000,Mumbai,Infrastructure & Engineering
INT_0353,Web Development Intern,Larsen & Toubro,web development,Internship opportunity in Web Development at Larsen & Toubro.,"javascript, css",mumbai,12 months,5000,True,2025-11-09,True,100000,Mumbai,Infrastructure & Engineering
INT_0354,Data Science Intern,Wipro,data science,Internship opportunity in Data Science at Wipro.,"machine learning, sql",bangalore,12 months,5000,True,2025-10-27,True,200000,Bangalore,IT Services
INT_0355,Finance Intern,Reliance Industries,finance,Internship opportunity in Finance at Reliance Industries.,"excel, accounting",mumbai,12 months,5000,True,2025-10-17,True,300000,Mumbai,Energy & Petrochemicals
INT_0356,Marketing Intern,Larsen & Toubro,marketing,Internship opportunity in Marketing at Larsen & Toubro.,"seo, content writing",mumbai,12 months,5000,True,2025-12-20,True,100000,Mumbai,Infrastructure & Engineering
INT_0357,Finance Intern,ICICI Bank,finance,Internship opportunity in Finance at ICICI Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-10-11,True,125000,Mumbai,Banking & Finance
INT_0358,Finance Intern,HCL Technologies,finance,Internship opportunity in Finance at HCL Technologies.,"financial analysis, excel",noida,12 months,5000,True,2025-11-18,True,225000,Noida,IT Services
INT_0359,Finance Intern,Infosys,finance,Internship opportunity in Finance at Infosys.,"accounting, financial analysis",bangalore,12 months,5000,True,2025-11-25,True,250000,Bangalore,IT Services
INT_0360,Finance Intern,Larsen & Toubro,finance,Internship opportunity in Finance at Larsen & Toubro.,"accounting, financial analysis",mumbai,12 months,5000,True,2025-11-23,True,100000,Mumbai,Infrastructure & Engineering
INT_0361,Cloud Computing Intern,ICICI Bank,cloud computing,Internship opportunity in Cloud Computing at ICICI Bank.,"docker, azure",mumbai,12 months,5000,True,2025-12-01,True,125000,Mumbai,Banking & Finance
INT_0362,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"react, html",bangalore,12 months,5000,True,2025-10-11,True,250000,Bangalore,IT Services
INT_0363,Web Development Intern,State Bank of India,web development,Internship opportunity in Web Development at State Bank of India.,"html, css",mumbai,12 months,5000,True,2025-11-09,True,250000,Mumbai,Banking & Finance
INT_0364,Cloud Computing Intern,Larsen & Toubro,cloud computing,Internship opportunity in Cloud Computing at Larsen & Toubro.,"docker, aws",mumbai,12 months,5000,True,2025-11-07,True,100000,Mumbai,Infrastructure & Engineering
INT_0365,Data Science Intern,HCL Technologies,data science,Internship opportunity in Data Science at HCL Technologies.,"sql, machine learning",noida,12 months,5000,True,2025-11-21,True,225000,Noida,IT Services
INT_0366,Marketing Intern,Wipro,marketing,Internship opportunity in Marketing at Wipro.,"digital marketing, seo",bangalore,12 months,5000,True,2025-12-07,True,200000,Bangalore,IT Services
INT_0367,Finance Intern,Tata Consultancy Services,finance,Internship opportunity in Finance at Tata Consultancy Services.,"accounting, excel",mumbai,12 months,5000,True,2025-10-21,True,600000,Mumbai,IT Services
INT_0368,Marketing Intern,HCL Technologies,marketing,Internship opportunity in Marketing at HCL Technologies.,"digital marketing, content writing",noida,12 months,5000,True,2025-10-25,True,225000,Noida,IT Services
INT_0369,Finance Intern,Larsen & Toubro,finance,Internship opportunity in Finance at Larsen & Toubro.,"financial analysis, excel",mumbai,12 months,5000,True,2025-12-10,True,100000,Mumbai,Infrastructure & Engineering
INT_0370,Cloud Computing Intern,State Bank of India,cloud computing,Internship opportunity in Cloud Computing at State Bank of India.,"azure, aws",mumbai,12 months,5000,True,2025-11-29,True,250000,Mumbai,Banking & Finance
INT_0371,Finance Intern,Larsen & Toubro,finance,Internship opportunity in Finance at Larsen & Toubro.,"accounting, excel",mumbai,12 months,5000,True,2025-12-04,True,100000,Mumbai,Infrastructure & Engineering
INT_0372,Data Science Intern,ICICI Bank,data science,Internship opportunity in Data Science at ICICI Bank.,"sql, python",mumbai,12 months,5000,True,2025-11-19,True,125000,Mumbai,Banking & Finance
INT_0373,Cloud Computing Intern,HCL Technologies,cloud computing,Internship opportunity in Cloud Computing at HCL Technologies.,"docker, aws",noida,12 months,5000,True,2025-12-06,True,225000,Noida,IT Services
INT_0374,Cloud Computing Intern,Reliance Industries,cloud computing,Internship opportunity in Cloud Computing at Reliance Industries.,"aws, azure",mumbai,12 months,5000,True,2025-10-06,True,300000,Mumbai,Energy & Petrochemicals
INT_0375,Cloud Computing Intern,ONGC,cloud computing,Internship opportunity in Cloud Computing at ONGC.,"azure, docker",delhi,12 months,5000,True,2025-10-27,True,30000,Delhi,Energy & Exploration
INT_0376,Web Development Intern,HCL Technologies,web development,Internship opportunity in Web Development at HCL Technologies.,"react, javascript",noida,12 months,5000,True,2025-10-03,True,225000,Noida,IT Services
INT_0377,Cloud Computing Intern,Infosys,cloud computing,Internship opportunity in Cloud Computing at Infosys.,"aws, docker",bangalore,12 months,5000,True,2025-10-20,True,250000,Bangalore,IT Services
INT_0378,Data Science Intern,HDFC Bank,data science,Internship opportunity in Data Science at HDFC Bank.,"python, sql",mumbai,12 months,5000,True,2025-11-26,True,150000,Mumbai,Banking & Finance
INT_0379,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"html, javascript",bangalore,12 months,5000,True,2025-12-06,True,250000,Bangalore,IT Services
INT_0380,Cloud Computing Intern,Infosys,cloud computing,Internship opportunity in Cloud Computing at Infosys.,"aws, azure",bangalore,12 months,5000,True,2025-11-01,True,250000,Bangalore,IT Services
INT_0381,Marketing Intern,Larsen & Toubro,marketing,Internship opportunity in Marketing at Larsen & Toubro.,"content writing, digital marketing",mumbai,12 months,5000,True,2025-10-29,True,100000,Mumbai,Infrastructure & Engineering
INT_0382,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"azure, aws",bangalore,12 months,5000,True,2025-10-13,True,200000,Bangalore,IT Services
INT_0383,Marketing Intern,Reliance Industries,marketing,Internship opportunity in Marketing at Reliance Industries.,"digital marketing, content writing",mumbai,12 months,5000,True,2025-10-11,True,300000,Mumbai,Energy & Petrochemicals
INT_0384,Data Science Intern,Reliance Industries,data science,Internship opportunity in Data Science at Reliance Industries.,"sql, python",mumbai,12 months,5000,True,2025-12-06,True,300000,Mumbai,Energy & Petrochemicals
INT_0385,Finance Intern,ONGC,finance,Internship opportunity in Finance at ONGC.,"excel, accounting",delhi,12 months,5000,True,2025-10-18,True,30000,Delhi,Energy & Exploration
INT_0386,Marketing Intern,HCL Technologies,marketing,Internship opportunity in Marketing at HCL Technologies.,"digital marketing, content writing",noida,12 months,5000,True,2025-10-04,True,225000,Noida,IT Services
INT_0387,Web Development Intern,Tata Consultancy Services,web development,Internship opportunity in Web Development at Tata Consultancy Services.,"css, javascript",mumbai,12 months,5000,True,2025-11-11,True,600000,Mumbai,IT Services
INT_0388,Data Science Intern,ICICI Bank,data science,Internship opportunity in Data Science at ICICI Bank.,"python, sql",mumbai,12 months,5000,True,2025-10-20,True,125000,Mumbai,Banking & Finance
INT_0389,Data Science Intern,Wipro,data science,Internship opportunity in Data Science at Wipro.,"sql, python",bangalore,12 months,5000,True,2025-11-01,True,200000,Bangalore,IT Services
INT_0390,Marketing Intern,HDFC Bank,marketing,Internship opportunity in Marketing at HDFC Bank.,"digital marketing, seo",mumbai,12 months,5000,True,2025-11-09,True,150000,Mumbai,Banking & Finance
INT_0391,Data Science Intern,Infosys,data science,Internship opportunity in Data Science at Infosys.,"sql, python",bangalore,12 months,5000,True,2025-10-02,True,250000,Bangalore,IT Services
INT_0392,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"azure, docker",bangalore,12 months,5000,True,2025-12-01,True,200000,Bangalore,IT Services
INT_0393,Web Development Intern,HCL Technologies,web development,Internship opportunity in Web Development at HCL Technologies.,"css, javascript",noida,12 months,5000,True,2025-10-06,True,225000,Noida,IT Services
INT_0394,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"docker, azure",bangalore,12 months,5000,True,2025-11-25,True,200000,Bangalore,IT Services
INT_0395,Web Development Intern,Wipro,web development,Internship opportunity in Web Development at Wipro.,"css, react",bangalore,12 months,5000,True,2025-12-03,True,200000,Bangalore,IT Services
INT_0396,Marketing Intern,ONGC,marketing,Internship opportunity in Marketing at ONGC.,"content writing, digital marketing",delhi,12 months,5000,True,2025-12-09,True,30000,Delhi,Energy & Exploration
INT_0397,Web Development Intern,Reliance Industries,web development,Internship opportunity in Web Development at Reliance Industries.,"html, javascript",mumbai,12 months,5000,True,2025-12-16,True,300000,Mumbai,Energy & Petrochemicals
INT_0398,Finance Intern,Larsen & Toubro,finance,Internship opportunity in Finance at Larsen & Toubro.,"financial analysis, accounting",mumbai,12 months,5000,True,2025-10-29,True,100000,Mumbai,Infrastructure & Engineering
INT_0399,Marketing Intern,HCL Technologies,marketing,Internship opportunity in Marketing at HCL Technologies.,"content writing, seo",noida,12 months,5000,True,2025-11-02,True,225000,Noida,IT Services
INT_0400,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"html, javascript",bangalore,12 months,5000,True,2025-11-09,True,250000,Bangalore,IT Services
INT_0401,Web Development Intern,Reliance Industries,web development,Internship opportunity in Web Development at Reliance Industries.,"react, javascript",mumbai,12 months,5000,True,2025-10-18,True,300000,Mumbai,Energy & Petrochemicals
INT_0402,Finance Intern,ICICI Bank,finance,Internship opportunity in Finance at ICICI Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-11-10,True,125000,Mumbai,Banking & Finance
INT_0403,Cloud Computing Intern,ICICI Bank,cloud computing,Internship opportunity in Cloud Computing at ICICI Bank.,"azure, docker",mumbai,12 months,5000,True,2025-11-04,True,125000,Mumbai,Banking & Finance
INT_0404,Web Development Intern,Larsen & Toubro,web development,Internship opportunity in Web Development at Larsen & Toubro.,"javascript, css",mumbai,12 months,5000,True,2025-11-05,True,100000,Mumbai,Infrastructure & Engineering
INT_0405,Cloud Computing Intern,Infosys,cloud computing,Internship opportunity in Cloud Computing at Infosys.,"azure, docker",bangalore,12 months,5000,True,2025-12-14,True,250000,Bangalore,IT Services
INT_0406,Web Development Intern,State Bank of India,web development,Internship opportunity in Web Development at State Bank of India.,"javascript, html",mumbai,12 months,5000,True,2025-11-21,True,250000,Mumbai,Banking & Finance
INT_0407,Finance Intern,ONGC,finance,Internship opportunity in Finance at ONGC.,"excel, accounting",delhi,12 months,5000,True,2025-12-13,True,30000,Delhi,Energy & Exploration
INT_0408,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"html, react",bangalore,12 months,5000,True,2025-12-06,True,250000,Bangalore,IT Services
INT_0409,Marketing Intern,HCL Technologies,marketing,Internship opportunity in Marketing at HCL Technologies.,"digital marketing, content writing",noida,12 months,5000,True,2025-10-01,True,225000,Noida,IT Services
INT_0410,Data Science Intern,HDFC Bank,data science,Internship opportunity in Data Science at HDFC Bank.,"sql, machine learning",mumbai,12 months,5000,True,2025-11-26,True,150000,Mumbai,Banking & Finance
INT_0411,Cloud Computing Intern,ICICI Bank,cloud computing,Internship opportunity in Cloud Computing at ICICI Bank.,"docker, aws",mumbai,12 months,5000,True,2025-10-03,True,125000,Mumbai,Banking & Finance
INT_0412,Cloud Computing Intern,HDFC Bank,cloud computing,Internship opportunity in Cloud Computing at HDFC Bank.,"aws, docker",mumbai,12 months,5000,True,2025-10-28,True,150000,Mumbai,Banking & Finance
INT_0413,Data Science Intern,Reliance Industries,data science,Internship opportunity in Data Science at Reliance Industries.,"machine learning, python",mumbai,12 months,5000,True,2025-12-02,True,300000,Mumbai,Energy & Petrochemicals
INT_0414,Cloud Computing Intern,Tata Consultancy Services,cloud computing,Internship opportunity in Cloud Computing at Tata Consultancy Services.,"docker, aws",mumbai,12 months,5000,True,2025-10-23,True,600000,Mumbai,IT Services
INT_0415,Marketing Intern,Wipro,marketing,Internship opportunity in Marketing at Wipro.,"digital marketing, seo",bangalore,12 months,5000,True,2025-10-07,True,200000,Bangalore,IT Services
INT_0416,Cloud Computing Intern,Wipro,cloud computing,Internship opportunity in Cloud Computing at Wipro.,"aws, azure",bangalore,12 months,5000,True,2025-10-21,True,200000,Bangalore,IT Services
INT_0417,Cloud Computing Intern,ICICI Bank,cloud computing,Internship opportunity in Cloud Computing at ICICI Bank.,"docker, aws",mumbai,12 months,5000,True,2025-10-17,True,125000,Mumbai,Banking & Finance
INT_0418,Web Development Intern,Larsen & Toubro,web development,Internship opportunity in Web Development at Larsen & Toubro.,"javascript, css",mumbai,12 months,5000,True,2025-10-08,True,100000,Mumbai,Infrastructure & Engineering
INT_0419,Finance Intern,State Bank of India,finance,Internship opportunity in Finance at State Bank of India.,"accounting, excel",mumbai,12 months,5000,True,2025-12-13,True,250000,Mumbai,Banking & Finance
INT_0420,Finance Intern,Infosys,finance,Internship opportunity in Finance at Infosys.,"excel, financial analysis",bangalore,12 months,5000,True,2025-11-01,True,250000,Bangalore,IT Services
INT_0421,Data Science Intern,Larsen & Toubro,data science,Internship opportunity in Data Science at Larsen & Toubro.,"machine learning, sql",mumbai,12 months,5000,True,2025-10-17,True,100000,Mumbai,Infrastructure & Engineering
INT_0422,Web Development Intern,ONGC,web development,Internship opportunity in Web Development at ONGC.,"react, html",delhi,12 months,5000,True,2025-12-10,True,30000,Delhi,Energy & Exploration
INT_0423,Data Science Intern,ICICI Bank,data science,Internship opportunity in Data Science at ICICI Bank.,"python, machine learning",mumbai,12 months,5000,True,2025-11-12,True,125000,Mumbai,Banking & Finance
INT_0424,Finance Intern,ONGC,finance,Internship opportunity in Finance at ONGC.,"excel, accounting",delhi,12 months,5000,True,2025-12-04,True,30000,Delhi,Energy & Exploration
INT_0425,Web Development Intern,Infosys,web development,Internship opportunity in Web Development at Infosys.,"css, html",bangalore,12 months,5000,True,2025-11-21,True,250000,Bangalore,IT Services
INT_0426,Finance Intern,Wipro,finance,Internship opportunity in Finance at Wipro.,"accounting, excel",bangalore,12 months,5000,True,2025-12-17,True,200000,Bangalore,IT Services
INT_0427,Marketing Intern,ICICI Bank,marketing,Internship opportunity in Marketing at ICICI Bank.,"digital marketing, content writing",mumbai,12 months,5000,True,2025-10-01,True,125000,Mumbai,Banking & Finance
INT_0428,Cloud Computing Intern,Larsen & Toubro,cloud computing,Internship opportunity in Cloud Computing at Larsen & Toubro.,"azure, docker",mumbai,12 months,5000,True,2025-10-10,True,100000,Mumbai,Infrastructure & Engineering
INT_0429,Finance Intern,ICICI Bank,finance,Internship opportunity in Finance at ICICI Bank.,"accounting, excel",mumbai,12 months,5000,True,2025-10-10,True,125000,Mumbai,Banking & Finance
INT_0430,Data Science Intern,Infosys,data science,Internship opportunity in Data Science at Infosys.,"machine learning, python",bangalore,12 months,5000,True,2025-10-24,True,250000,Bangalore,IT Services
INT_0431,Finance Intern,Infosys,finance,Internship opportunity in Finance at Infosys.,"excel, accounting",bangalore,12 months,5000,True,2025-10-19,True,250000,Bangalore,IT Services
INT_0432,Finance Intern,Infosys,finance,Internship opportunity in Finance at Infosys.,"excel, accounting",bangalore,12 months,5000,True,2025-11-29,True,250000,Bangalore,IT Services
INT_0433,Cloud Computing Intern,State Bank of India,cloud computing,Internship opportunity in Cloud Computing at State Bank of India.,"aws, docker",mumbai,12 months,5000,True,2025-12-03,True,250000,Mumbai,Banking & Finance
INT_0434,Finance Intern,HCL Technologies,finance,Internship opportunity in Finance at HCL Technologies.,"accounting, excel",noida,12 months,5000,True,2025-12-04,True,225000,Noida,IT Services
INT_0435,Cloud Computing Intern,Tata Consultancy Services,cloud computing,Internship opportunity in Cloud Computing at Tata Consultancy Services.,"docker, azure",mumbai,12 months,5000,True,2025-12-15,True,600000,Mumbai,IT Services
